name,location,datetime,followers,likes,retweets,tweet
amyfiqlya,Wilayah Persekutuan Kuala Lump,18-03-2022 23:59,118,0,3117,RT @markgurman: Apple’s new Mac Studio: Made in Malaysia https://t.co/yIC8imUmyE
mrgageroni,"Utah, USA",18-03-2022 23:58,91,0,151,"RT @gtinari: Steve Jobs talking about the trash can Mac Pro, USB-C-only MacBook Pros, and Apple Studio Display. https://t.co/8qEsunkp2i"
mmd904_, ,18-03-2022 23:58,42,0,151,"RT @gtinari: Steve Jobs talking about the trash can Mac Pro, USB-C-only MacBook Pros, and Apple Studio Display. https://t.co/8qEsunkp2i"
jkecollins,"Melbourne, Victoria",18-03-2022 23:57,56,0,0,Who is the Mac Studio for? #macstudio #apple
zuhair_zahir,,18-03-2022 23:53,93,0,3117,RT @markgurman: Apple’s new Mac Studio: Made in Malaysia https://t.co/yIC8imUmyE
cultofmac,San Francisco and elsewhere,18-03-2022 23:49,742636,6,1,ICYMI: Apple plans ‘lock adapter’ to stop Mac Studio thieves https://t.co/ymciREm1lo by @killianbell
azimmm,"Jerantut, Pahang",18-03-2022 23:48,70,0,3117,RT @markgurman: Apple’s new Mac Studio: Made in Malaysia https://t.co/yIC8imUmyE
iveseenfuture,대한민국,18-03-2022 23:47,14,0,5,"RT @9to5mac: Todays Top Stories: Our Mac Studio unboxing and first impressions, Porsche Apple partnership hinted, and more"
DigitalTrends,"Portland, OR && New York, NY",18-03-2022 23:47,2023050,4,0,"In an interview, #Apple execs praise the #StudioDisplay saying it""s very accessible, very mainstream despite poor… https://t.co/3jWOMO1uQo"
LukaszHandke,Wrocław,18-03-2022 23:46,70,0,0,Review: The Mac Studio shows us exactly why Apple left Intel behind https://t.co/wawVe9zcC9
ayreenshzrina_,,18-03-2022 23:46,110,0,3117,RT @markgurman: Apple’s new Mac Studio: Made in Malaysia https://t.co/yIC8imUmyE
anilmstffa_,"Emirates, North Lundang.",18-03-2022 23:46,654,0,3117,RT @markgurman: Apple’s new Mac Studio: Made in Malaysia https://t.co/yIC8imUmyE
macisbland,Autistic and bland,18-03-2022 23:45,35,0,151,"RT @gtinari: Steve Jobs talking about the trash can Mac Pro, USB-C-only MacBook Pros, and Apple Studio Display. https://t.co/8qEsunkp2i"
nimajamalian,"London, England",18-03-2022 23:29,122,4,0,#Ryzen next to Apple #M1 #Ultra 😂 https://t.co/BB0kMhzyhi
rai354,,18-03-2022 23:28,68,0,46,"RT @reckless: The M1 Ultra is a triumph, but Apple""s goofy relative performance charts set it up for a needless 3090 comparison that wasn…"
henryjuuko23,"Kampala, Uganda",18-03-2022 23:19,448,0,22,"RT @JustinTse: Busy week of Apple Spring 2022 coverage wrapped!

M1 iPad Air 5 (2022) - https://t.co/OiMKoQi9Lo

Mac Studio M1 Ultra &amp; Stud…"
dinoreynyc,New York City/San Antone Tejas,18-03-2022 23:18,391,2,0,"I wonder if the new @Apple 
M1 Ultra Razor is any good??

#AppleEvent #M1Ultra #technology #Apple #AppleStore https://t.co/1h964so2M8"
laynewastaken,,18-03-2022 23:15,4,0,0,if @Apple were to release a macbook air with m1 pro and m1 max then that would probs mean they would give us a m1 ultra macbook
hudson_chatbots,"Washington, USA",18-03-2022 23:06,18000,0,3,RT @WorldTrendsInfo: The 7 biggest announcements from Apple’s Peek Performance event: #artificialintelligence #iot cc: @MIKEQUINDAZZI https…
Richie_OSx9,México,18-03-2022 23:59,795,0,48,"RT @VadimYuryev: World FIRST Exclusive Mac Studio full teardown! Check out the M1 Ultra chip! Video: https://t.co/hSWwQzPZfA

Support our e…"
curtisbridges,New Hampshire,18-03-2022 23:48,193,0,0,@siracusa I can’t imagine buying one of these and immediately disassembling it. Interesting look at the guts of a M… https://t.co/k07bwuoqfE
yodabolt,Lost in a corn maze,18-03-2022 23:27,31,0,48,"RT @VadimYuryev: World FIRST Exclusive Mac Studio full teardown! Check out the M1 Ultra chip! Video: https://t.co/hSWwQzPZfA

Support our e…"
iM4CH3T3,,18-03-2022 23:24,19372,0,48,"RT @VadimYuryev: World FIRST Exclusive Mac Studio full teardown! Check out the M1 Ultra chip! Video: https://t.co/hSWwQzPZfA

Support our e…"
twood3,,18-03-2022 23:18,1562,0,6,"RT @rsgnl: Good joke: According to [Dan] Ives, however, Apple may eventually make the M1 Ultra available to other computer makers, giving…"
MajorTechDE,Hamburg ,18-03-2022 23:14,2402,0,48,"RT @VadimYuryev: World FIRST Exclusive Mac Studio full teardown! Check out the M1 Ultra chip! Video: https://t.co/hSWwQzPZfA

Support our e…"
xxshimin,Ravenholm,18-03-2022 23:08,60,0,48,"RT @VadimYuryev: World FIRST Exclusive Mac Studio full teardown! Check out the M1 Ultra chip! Video: https://t.co/hSWwQzPZfA

Support our e…"
azrinsunbae,,18-03-2022 23:08,1061,0,48,"RT @VadimYuryev: World FIRST Exclusive Mac Studio full teardown! Check out the M1 Ultra chip! Video: https://t.co/hSWwQzPZfA

Support our e…"
tatech15,,18-03-2022 23:03,105,0,48,"RT @VadimYuryev: World FIRST Exclusive Mac Studio full teardown! Check out the M1 Ultra chip! Video: https://t.co/hSWwQzPZfA

Support our e…"
VadimYuryev,"Spokane, WA",18-03-2022 23:02,8557,361,48,"World FIRST Exclusive Mac Studio full teardown! Check out the M1 Ultra chip! Video: https://t.co/hSWwQzPZfA

Suppor… https://t.co/OexzblZ8oM"
Pear9231,,18-03-2022 22:51,10,0,7,RT @BestBuy: The new iPad Air. Supercharged by the Apple M1 chip. 12MP Ultra Wide front camera with Center Stage. Available in five gorgeou…
_matthewanthony,Los Angeles,18-03-2022 22:50,2159,1,0,"@duncantrussell Ooof. I wanna get the new Mac Studio or a laptop with their M1 Ultra chip, but will wait at least 6 months from release."
vennemp,us-matt-1,18-03-2022 22:48,102,1,0,"Deep dive on Apples M1 Ultra chip. 

Breaks it down into primitive concepts, explains the problem solved by NUMA -… https://t.co/Zb4wQunTje"
FLYJaco6,"West Lafayette, IN",18-03-2022 22:27,412,0,7,RT @BestBuy: The new iPad Air. Supercharged by the Apple M1 chip. 12MP Ultra Wide front camera with Center Stage. Available in five gorgeou…
honk435049411,,18-03-2022 21:08,45,0,0,"@AustinJohnPlays The Mac Pro is modular so you could have actually@made it as powerful as the new Mac studio, if no… https://t.co/Ex47hJpk7O"
flixboards,Online,18-03-2022 23:30,1905,0,0,"Apple Silicon M1 Ultra—A Deep Dive, and What It Means for the Mac Pro |  #movies #entertainment https://t.co/lQfBwZOLIf"
mirza_jpg,"Dubai, United Arab Emirates",18-03-2022 22:08,120,0,0,Why do I have a feeling that the Apple Silicon Mac Pros processor is gonna be called M1 Ultra Pro Max 😂😂#apple #MacStudio
PhilipTobias,"Boulder, CO",18-03-2022 19:26,197,0,0,Apple’s chips are on the table https://t.co/SdhNdRe5SH
ShortFormErnie,In a Markdown editor,18-03-2022 17:40,6992,1,0,"Hey Apple, it’s still not too late to support eGPUs on Apple Silicon. https://t.co/vVPnTUvJPD"
tme_michael,"Brooklyn, NY",18-03-2022 15:10,2191,4,2,Just dropped the 10th edition of my Newsletter - talking about what Macs we can expect over the next year or so. It… https://t.co/HVV26UTWMW
ixistenz,switzerland,18-03-2022 13:16,839,0,0,"arm rules ... 
https://t.co/Z66gypyoQP"
PeterCohenRCR,United States,18-03-2022 12:15,89,2,0,The idea of Apple finding markets for its silicon beyond its own products begins to look VERY interesting when you… https://t.co/967YxRqJ6a
ios9_0,,18-03-2022 11:38,7,0,0,"Apple Silicon Mac Pros will come 2 (two) M1 Ultra chip magically unified together!

If i know @Apple will gift me one of them i think 😁"
flargh,Massachusetts,18-03-2022 11:32,9570,12,1,The idea of Apple finding markets for its silicon beyond its own products begins to look VERY interesting when you… https://t.co/IuQnRoQiXg
BrettStalbaum,"La Jolla, San Diego",18-03-2022 11:22,79,0,0,"Consumers still have dance offs for their respective identity props, but workload and use case are the reals. Custo… https://t.co/ck1T7jKU5J"
sully496,c l a s s i f i e d,18-03-2022 10:02,131,0,0,"@heitorataide @tomwarren i get the efficiency aspect, apple silicon use less power.

but according to this specific… https://t.co/rqhXMDD0zB"
news89com,"India, UAE, Kuwait, Qatar",18-03-2022 09:45,447,0,0,Apple Silicon M1 Ultra Is Nowhere Near As Powerful As NVIDIA GeForce RTX 3090a0GPU https://t.co/Y1c38eJ7OU
BellEquipe,Aichi Japan,18-03-2022 09:10,197,0,0,"Geekbench 5 and Shadow of the Tomb Raider are running on Rosetta 2.
Are the numbers from software that does not nat… https://t.co/7YTeGayXOi"
Brynhewko,Canada,18-03-2022 00:33,356,0,0,Honest question about 2019 Mac Pro and Apple Silicon: Would it be possible for Apple to release a “module” that con… https://t.co/XlzGTUudgs
EdFromFreelance,Atlanta,17-03-2022 23:11,1180,1,0,"I agree. I see 0% chance of Apple selling the M1 Ultra, or any Apple silicon, to other computer makers. Selling App… https://t.co/5GGkDXs5Xg"
dhyuta,"she/her, 21 🇮🇹",18-03-2022 22:45,505,0,0,i also used mac studio fix fluid and it was good for me but then i read they test on animals and ://
was_milky,,18-03-2022 20:57,28,0,0,"@its_shevi me neither I dont get why they would make the Mac studio 1,500 atleast make it around a PC price like 1,… https://t.co/ug0BzZdfZF"
mistacabbage,,18-03-2022 19:15,589,0,0,"@FCPdotCO @finalXtraining Mac Studio: Whats Not So Good

External storage needs to be fast to keep up

🙈🙈"
DJTechYT,"Temecula, CA",18-03-2022 18:36,291,1,0,@JohnM_Smit Mac Studio because I already have a pretty good display
John_Ogden,UK,18-03-2022 18:27,471,0,0,"@RussHollinshead More tests coming in https://t.co/YeRnSCQWrh

Looks like its a bit under on single core, a lot ove… https://t.co/sRFVSfJGtV"
MarcusLai, Los Angeles,18-03-2022 17:55,139,1,0,Good morning Mac Studio and Studio Display! ☀️ #LA https://t.co/qFpagHP3GU
FabiodaMotta5,,18-03-2022 16:56,55,0,1,RT @OnlyTrueAnika: Good night!! What are your thoughts on the Mac Studio now that reviews are out?? 🤭
GehaniNeil,San Francisco,18-03-2022 16:32,637,0,0,"Review: The Mac Studio shows us exactly why Apple left Intel behind - ⁦@arstechnica⁩ 

Pretty good review of ⁦… https://t.co/jhbWUPHf8F"
Beachtek,"Kelowna, British Columbia",18-03-2022 16:25,914,0,0,"Is the Mac Studio Good for Filmmakers? We Reviewed One to Find Out
 https://t.co/RRiePw372A https://t.co/H4bRGjzZYo"
KyleBlessing,Instagram @BlessiousPlays,18-03-2022 16:05,32152,18,0,"Hey Apple Aficionados!

Do you think the new Mac Studio would be good for OBS, Live streams and being a potential s… https://t.co/U2fGTl1IlC"
kbsez,,18-03-2022 15:21,8438,0,1,"RT @michaschmidt: so everybody is talking about the new Mac Studio, while I just installed macOS Big Sur and Final Cut Pro 10.6.1 on a 2009…"
joseluisarriola,,18-03-2022 22:49,407,0,0,"Favorite part of @MKBHD""s Mac Studio review:

If you""re bad at editing and you get this machine, you""ll still be b… https://t.co/GVWZPzP1Ev"
techysecy,Mars,18-03-2022 22:03,3,0,0,"If you are bad at editing and gets Mac Studio, You still be bad at editing but now faster!! ~@MKBHD"
shamemezahid,"Dhaka, Bangladesh",18-03-2022 21:51,19,3,0,"@MKBHD If you""re bad at editing, and you get this machine (mac studio). You""ll still be bad at editing, just faster 
- MKBHD (2022)"
postvacuous,Far out,18-03-2022 17:08,434,0,0,"The Mac Studio is ugly, putting the power supply inside the case is a bad engineering decision, the Studio Display… https://t.co/tWieoHIc4M"
kev_sounds,"Chicago, IL",18-03-2022 14:20,121,0,0,"Okay so I think ima exchange my MacBook for the Mac studio base, much more power, but no screen, I picked up a 4k m… https://t.co/pj1gmCQQbF"
